Speed_Diff,Attack_Diff,Defense_Diff,Sp. Atk_Diff,Sp. Def_Diff,HP_Diff,Type_Win_Score,p1_win
-34,17,32,15,15,30,0.0,0
20,0,-75,15,-50,10,0.0,1
-22,10,47,20,-30,20,0.0,0
48,56,28,58,30,26,-1.5,1
-25,-35,-30,-75,-65,-25,0.0,0
105,120,-130,150,-110,60,0.0,1
61,65,-10,65,0,-21,0.0,1
5,95,110,70,60,60,0.0,1
0,-30,-46,45,-36,65,0.0,0
-3,-13,9,33,-35,36,0.0,0
-50,-7,-20,17,10,15,-1.5,0
61,50,70,23,60,24,0.0,1
40,5,-110,0,-100,-15,0.0,1
-53,-23,3,-17,-13,3,-1.0,0
34,3,-72,-27,-32,0,-1.5,1
-12,-15,-24,110,66,8,0.0,0
-22,-32,-68,-28,-22,-28,0.0,0
31,29,14,-7,-20,-14,0.0,1
-26,-30,-4,30,-45,0,0.0,0
5,-10,45,15,-10,-10,-1.0,1
14,49,-12,-28,-52,30,0.0,1
-55,7,30,102,30,15,0.0,0
-5,60,30,60,30,65,0.0,0
3,59,27,-10,-20,13,0.0,1
-40,-38,-36,-38,0,12,-1.5,0
45,-15,35,-5,-25,-35,0.0,1
-15,12,7,11,54,22,0.0,0
38,67,2,19,-16,-60,0.0,1
-40,0,5,55,35,-5,0.0,0
40,20,20,50,5,10,0.0,1
-20,-70,-5,-10,10,49,0.0,0
-46,-16,-10,-23,-3,18,1.5,0
-30,30,45,0,-15,20,0.0,0
50,85,-20,75,0,20,0.0,1
69,65,94,13,20,15,0.0,1
70,10,-30,55,75,10,0.0,1
-20,-15,45,-30,65,25,0.0,0
-15,-50,-125,-50,-115,5,0.0,0
71,45,50,115,60,43,0.0,1
5,-130,-75,-75,-65,-45,0.0,1
-65,-25,13,23,18,1,0.0,0
-82,-13,30,-15,22,-18,0.0,0
70,35,35,115,45,40,0.0,1
-25,-35,15,-15,25,10,-1.0,0
-42,-63,0,-28,-30,-34,0.0,0
-17,-20,-42,-45,-21,-47,0.0,0
-14,20,-18,-15,-23,-11,0.0,0
60,40,10,84,-5,16,0.0,1
-30,26,20,-24,-40,10,-1.0,0
-35,10,120,15,20,-90,0.0,0
11,5,-52,52,75,15,0.0,1
57,-17,5,-22,-15,-3,0.0,1
7,-36,-72,-46,-22,34,0.0,0
5,30,-10,90,45,20,0.0,1
-87,-14,7,6,-8,-9,-1.0,0
75,135,59,70,24,113,0.0,1
4,-17,-67,-77,-42,-20,0.0,1
-21,-45,-67,-13,-20,-20,0.0,0
-55,-25,-20,-70,-20,-17,0.0,0
-30,20,-40,15,-90,15,0.0,0
-30,0,15,-10,-5,-10,0.0,0
80,60,35,85,105,30,0.0,1
-11,-30,-30,45,-35,1,0.0,0
-27,12,45,24,35,15,0.0,0
1,-6,5,2,20,2,0.0,1
5,-88,-28,-16,-9,-63,0.0,1
-3,10,50,9,-5,-20,0.0,0
-45,10,-60,-15,5,75,0.0,1
3,-21,-36,-21,-34,-39,0.0,1
-11,-1,30,1,-30,-19,0.0,0
-70,0,35,-50,-15,-10,0.0,0
91,63,5,78,55,25,0.0,1
-72,-1,20,-48,-85,-25,0.0,0
-16,-42,-30,-34,-23,-53,0.0,0
-40,50,30,20,20,40,0.0,0
-3,-5,13,8,9,17,1.0,0
-37,21,-9,1,-29,24,0.0,0
-15,-25,-25,-25,-35,-20,0.0,0
43,10,82,13,73,9,0.0,1
-2,-7,35,-5,30,4,1.5,0
104,86,-10,-30,30,15,0.0,1
5,5,-5,25,-60,-10,1.0,1
15,5,-10,15,40,0,0.0,1
40,27,14,51,20,16,0.0,1
-29,10,-10,-20,-75,-15,0.0,0
15,10,-9,-37,-17,8,0.0,1
18,-16,-44,-51,-69,-59,0.0,1
25,60,0,65,-20,10,0.0,1
11,-55,-95,-30,-100,-5,0.0,0
-42,-65,10,-65,0,-58,0.0,0
-6,61,34,36,29,51,0.0,0
12,25,50,65,20,8,0.0,1
40,50,60,10,14,41,0.0,1
-5,5,-5,55,45,75,0.0,0
-65,25,10,-10,0,45,0.0,1
20,60,60,85,60,35,0.0,1
45,-33,27,-1,-29,-93,0.0,0
-57,5,-7,-3,-11,1,0.0,0
56,27,15,7,50,30,1.5,1
-10,54,6,76,-6,60,0.0,0
-30,-55,-35,10,20,-15,1.0,0
-20,-43,-12,20,-55,20,0.0,0
38,-4,-35,21,0,30,0.0,1
-45,-15,85,-20,-66,-9,0.0,1
-20,-70,-40,-40,-80,-45,0.0,0
-32,-3,-22,-3,-6,-9,0.0,0
11,-17,16,14,7,10,0.0,1
42,30,2,-22,-44,4,0.0,1
-20,3,-65,-85,-50,0,1.0,0
0,19,35,-31,5,-18,0.0,0
-46,16,1,-12,-35,-17,0.0,0
45,28,7,45,35,5,0.0,1
-45,-40,20,-60,-15,-15,0.0,0
-40,16,50,-40,-5,9,0.0,0
-15,45,51,26,0,33,0.0,0
-5,40,20,15,-50,45,0.0,0
10,-75,-40,75,0,-15,0.0,1
-50,-40,-10,-50,-90,-40,0.0,0
-11,20,-10,-25,-55,-5,0.0,0
17,38,15,-10,0,40,0.0,1
-10,18,-12,-22,-27,30,0.0,0
-3,13,30,-40,0,0,0.0,0
-14,29,1,45,47,26,0.0,0
-40,-72,-42,-65,-55,-36,0.0,0
-45,-5,25,5,0,50,0.0,0
66,-20,-33,20,37,-20,0.0,1
-22,22,2,14,-6,-30,-1.5,0
-19,-6,0,5,10,0,0.0,0
0,10,35,-17,5,30,0.0,0
-60,10,20,10,-4,-56,0.0,0
1,17,32,25,15,30,0.0,1
-45,-30,4,10,4,-5,0.0,0
-20,34,65,24,50,20,0.0,0
110,115,35,50,45,10,-1.0,1
5,25,10,25,10,10,0.0,1
-21,-29,-15,20,-15,-15,0.0,0
-12,-3,-67,-3,-91,-31,0.0,0
-20,70,5,-25,-30,5,0.0,0
-55,64,20,-26,-35,32,0.0,0
-7,-26,6,-51,-9,-89,0.0,0
95,-20,0,15,15,-40,0.0,1
-33,68,24,-17,45,28,0.0,0
-15,-60,50,-125,-75,-5,0.0,0
-30,35,8,43,8,16,0.0,0
35,-28,-38,39,24,-45,0.0,1
-10,52,17,-3,-3,-25,0.0,0
-10,5,5,-7,-3,25,0.0,0
0,-55,-80,-20,-30,-5,0.0,0
66,60,-5,55,35,49,0.0,1
57,-24,-56,11,-41,3,0.0,0
-7,-30,22,33,-2,-41,0.0,0
-12,47,3,2,-42,28,0.0,0
0,40,5,-25,5,0,0.0,0
39,-39,-50,-59,-60,-5,0.0,0
-2,-57,20,0,5,-6,0.0,0
-18,57,23,-27,-38,38,0.0,0
-22,65,22,32,26,23,0.0,0
5,40,55,60,35,30,0.0,1
10,10,30,5,10,15,0.0,1
-10,80,10,55,-15,20,0.0,0
-25,7,35,58,20,20,0.0,0
45,88,32,30,30,37,0.0,1
33,25,-16,5,-5,-30,0.0,1
-13,-2,32,17,-5,-21,0.0,0
-10,-50,-60,-5,-20,0,0.0,0
-35,10,25,-20,0,-10,0.0,0
-78,-106,5,-40,-25,-51,0.0,0
-10,15,40,70,10,65,0.0,0
-32,-40,10,15,50,-10,0.0,0
32,70,38,100,30,15,0.0,1
-29,4,35,-36,-8,-46,0.0,0
-21,-11,5,16,20,41,0.0,0
-5,15,15,5,-15,0,0.0,0
-4,0,-55,-25,-55,-1,0.0,0
20,-50,-45,5,-10,-50,0.0,1
32,57,-10,25,-5,-29,-1.0,1
-20,-45,-85,-5,-35,-20,0.0,0
-16,12,-2,-44,9,-11,0.0,0
22,54,52,34,15,43,0.0,1
-5,-40,-9,-70,-9,-22,0.0,0
48,-12,-3,22,33,-8,0.0,1
21,2,15,58,5,-11,0.0,1
-28,-45,45,50,60,-5,0.0,0
52,50,46,-20,25,37,0.0,1
10,-77,40,-57,45,-30,-1.0,1
-10,37,-17,0,-45,5,-1.0,0
71,18,20,28,10,15,0.0,1
-71,-43,17,-63,-3,-35,0.0,0
55,15,-30,10,0,15,1.0,1
-10,-10,0,-10,15,10,0.0,0
34,20,60,30,9,-4,0.0,1
-65,-65,29,50,-1,-5,0.0,0
16,-45,-13,-22,-13,-46,0.0,1
0,-30,-5,85,25,20,0.0,0
33,8,50,-18,37,30,0.0,1
43,-64,-15,-3,-20,-6,0.0,1
-14,-35,5,0,-10,0,0.0,0
-33,-13,-55,-40,-45,-14,0.0,0
-25,0,5,-20,-30,-35,0.0,0
80,81,3,66,15,35,0.0,1
20,64,22,5,10,-4,0.0,0
-10,90,80,-20,15,10,0.0,0
63,-27,-8,7,48,-8,-1.0,0
20,-55,-115,-35,-95,-10,1.0,1
-54,-17,-36,-50,-70,-35,0.0,0
-50,5,-25,-40,-25,4,0.0,0
-66,-60,-10,2,-10,26,0.0,0
10,40,-40,-20,-20,-20,0.0,1
36,17,32,35,25,25,0.0,1
25,39,10,-30,0,-25,-1.0,1
20,34,17,-21,-16,-8,0.0,1
30,35,-44,-25,-44,25,0.0,1
-50,-30,-57,25,0,5,0.0,0
34,15,10,73,73,30,0.0,1
-20,-50,1,-50,-3,-68,0.0,0
47,-50,-20,0,5,-15,0.0,1
15,-40,-65,-90,-35,-25,0.0,1
-5,28,27,18,72,30,0.0,0
-1,-12,13,-12,13,15,-1.5,0
62,-5,-50,60,-30,5,0.0,1
20,-72,-19,-72,-19,13,0.0,1
25,10,-10,-32,-30,0,0.0,1
63,30,38,25,-13,6,0.0,1
66,63,18,36,10,30,-1.5,1
0,25,25,15,-35,-70,0.0,0
20,-25,-80,45,55,-25,0.0,1
55,60,35,20,30,-25,0.0,1
7,-22,23,38,19,12,0.0,1
-38,65,58,-15,10,60,0.0,0
65,95,-80,85,-105,-40,0.0,1
-79,-34,68,82,32,37,0.0,0
28,-69,-75,6,-40,-25,0.0,1
26,20,-18,-25,-53,-70,0.0,1
-30,-5,-15,-45,-35,-30,0.0,0
-21,-42,15,-23,-20,4,0.0,0
-11,-35,23,-30,-27,-34,0.0,0
14,43,24,13,1,21,-1.0,1
14,71,135,-9,-15,10,0.0,1
-20,-25,-40,0,20,-30,0.0,0
15,110,55,55,40,60,1.0,1
0,0,-70,-90,-35,-65,-1.5,0
-28,8,-2,-14,-12,-9,1.0,0
-95,5,-10,-75,-10,-10,0.0,0
-45,-30,-10,-85,-105,-45,0.0,0
125,24,6,65,15,45,0.0,1
-55,-20,-60,-45,-50,15,0.0,0
-39,-63,-32,-51,-41,-58,0.0,0
39,49,10,-36,67,-34,0.0,1
22,-26,117,-41,2,-49,0.0,1
-9,-46,-33,-36,-33,-38,0.0,0
20,-70,0,-10,-25,-5,0.0,1
61,49,2,44,4,15,0.0,1
42,-10,35,20,35,-4,0.0,1
75,26,-15,70,15,4,0.0,1
-50,-90,-40,-105,-50,-80,0.0,0
10,-35,-40,30,-5,-35,0.0,1
-20,14,45,44,70,20,0.0,0
75,6,-16,14,56,15,0.0,1
-65,20,0,-85,-70,-42,0.0,0
-29,29,70,-15,40,5,0.0,0
-28,18,41,35,58,59,-1.0,0
-16,59,160,11,40,21,0.0,0
0,35,25,35,25,38,0.0,0
-10,22,29,19,39,26,0.0,0
-40,-130,-25,-95,-15,-10,0.0,0
-25,45,105,105,15,50,-1.0,0
-62,2,43,-23,-11,-14,0.0,0
40,-35,-166,5,-21,15,0.0,1
-14,34,65,49,75,20,0.0,1
-35,30,35,35,15,45,0.0,1
15,20,5,-36,-41,-45,0.0,1
-45,-10,-15,-40,-15,-20,0.0,0
9,23,13,3,-22,10,0.0,1
-67,29,5,15,40,105,0.0,1
-24,0,-25,-55,-75,-40,0.0,0
40,-2,-48,30,20,-5,0.0,1
-70,-25,-30,20,5,-5,0.0,0
-30,-100,-50,-34,-4,-50,0.0,1
58,-49,-35,-39,20,20,1.5,1
-44,-27,-18,-15,-27,-25,0.0,0
-5,-145,-80,10,-5,-40,0.0,0
70,45,-15,130,120,30,1.0,1
-40,65,70,-50,0,25,0.0,1
-23,-62,-62,-74,-24,25,0.0,0
0,-30,-10,-60,-10,0,0.0,0
-32,37,18,-28,13,18,0.0,0
-5,-120,85,-63,-38,-29,0.0,0
4,-1,15,-9,-20,1,0.0,1
80,35,-25,55,20,20,0.0,1
-81,-68,-70,-63,-124,-61,0.0,0
35,30,-30,-20,15,35,0.0,1
30,35,36,35,17,-8,0.0,1
-13,-12,-23,-33,-10,-21,0.0,0
2,-11,-25,15,-20,-9,0.0,1
-10,-75,-50,-50,-35,-65,1.5,1
51,72,22,72,22,25,0.0,1
27,-15,-1,-5,4,-30,0.0,1
26,21,-30,-33,-11,16,-1.0,1
36,25,-11,-12,18,3,0.0,1
20,80,85,100,0,60,0.0,1
4,23,12,-9,-59,23,0.0,1
30,-90,-85,15,-10,-75,0.0,0
-18,-35,-93,35,28,-11,0.0,0
115,40,-45,45,-5,42,0.0,1
35,61,30,-10,45,39,0.0,1
10,10,-55,30,0,-5,0.0,1
15,63,-7,-18,-63,-30,0.0,1
-65,-10,-130,-50,-130,22,0.0,0
-10,-21,-30,-9,-15,0,0.0,0
-55,-60,-25,-25,-5,-75,0.0,0
8,-40,-17,-15,-50,-117,0.0,0
0,35,-30,60,50,40,-1.5,0
-3,-35,0,-10,0,0,0.0,0
71,36,39,10,19,10,0.0,1
42,17,25,-25,-10,36,0.0,1
-65,12,15,-38,5,-35,0.0,0
-24,-10,-40,-8,-43,16,0.0,0
35,72,47,-6,37,26,0.0,1
-11,-10,-7,28,53,-11,0.0,0
-30,-45,55,-5,50,-45,0.0,0
30,5,5,15,15,30,0.0,0
26,-10,-23,-38,-38,-2,0.0,1
0,35,20,25,45,0,0.0,0
40,-50,-60,-110,-65,-30,0.0,0
-30,-90,-40,-74,-14,-20,0.0,0
7,75,-19,-50,-60,15,-1.0,1
-35,-5,-35,10,-5,-35,0.0,0
-88,-10,-21,-75,-56,-20,0.0,0
40,43,-23,40,40,45,0.0,1
-45,-11,-19,56,34,30,0.0,0
35,-14,-66,0,-10,-15,0.0,1
6,-27,38,18,38,12,0.0,0
-5,15,106,35,96,45,0.0,0
-9,-35,-1,60,45,-10,0.0,0
50,101,41,85,25,60,0.0,1
35,65,45,-55,-5,35,0.0,1
30,5,-16,50,24,105,0.0,1
-21,-17,-72,-22,-82,-70,0.0,0
0,-37,-33,5,-15,-35,0.0,0
35,-70,-10,75,10,-15,0.0,1
-9,-41,16,4,-19,-16,0.0,0
15,-55,-10,-49,16,10,0.0,1
-25,-2,-40,15,-33,16,0.0,0
25,20,-65,-35,-105,105,1.0,1
15,-45,-30,0,-20,-7,0.0,1
-75,-40,10,-35,110,10,0.0,0
-59,4,60,44,60,50,0.0,1
-65,-70,15,-5,-5,-42,0.0,0
100,30,40,114,50,46,0.0,1
60,-15,25,60,80,0,0.0,0
52,45,22,33,26,32,0.0,1
-37,-33,-10,23,25,33,0.0,0
27,25,-15,-1,15,-10,0.0,1
-45,-80,-20,0,50,-35,0.0,0
-64,-37,-67,-32,-9,-41,0.0,0
-70,-1,35,19,-20,22,1.5,1
-45,0,125,50,-30,-5,0.0,0
5,50,20,50,20,35,0.0,1
-2,-23,-3,-10,-15,-2,0.0,0
35,65,-10,40,-80,-5,0.0,1
-11,1,-40,-24,-40,-25,0.0,0
-15,4,26,46,44,25,0.0,0
-5,19,18,-28,-9,15,0.0,0
40,41,68,66,76,-31,0.0,1
24,-34,-7,-17,-19,-6,0.0,1
24,-51,-13,23,29,-21,0.0,1
-70,-33,38,-55,-35,-15,1.0,1
15,60,160,-15,55,25,0.0,1
-67,5,25,0,-25,20,0.0,0
-35,-10,-25,30,-25,90,0.0,0
12,11,-35,18,15,5,0.0,1
32,32,52,27,72,-95,0.0,1
12,67,0,-5,-20,1,1.5,1
15,15,70,-20,40,40,0.0,1
-90,0,10,-80,-100,-40,0.0,0
10,15,55,-5,15,5,0.0,1
2,-82,-19,3,-4,-34,0.0,1
15,0,-110,-10,-110,-5,0.0,0
55,100,-15,45,40,-20,0.0,1
88,-43,-40,-48,-45,0,-1.0,0
-85,5,-10,-105,-65,-20,0.0,1
50,-15,25,89,-25,38,0.0,1
35,55,32,-5,-3,25,0.0,0
8,-25,10,-10,5,0,0.0,1
47,87,30,0,20,50,0.0,1
8,5,5,-4,10,-2,0.0,1
-48,52,30,-90,-30,6,0.0,0
1,-2,59,-29,12,-20,0.0,1
19,41,30,-5,0,-5,0.0,1
-52,20,12,47,11,88,1.0,1
45,55,40,10,40,35,0.0,1
-37,-25,-31,-10,-21,-23,0.0,0
-20,-60,-60,-25,-25,-30,0.0,0
-16,0,-100,15,-90,-24,0.0,0
0,42,-23,42,-23,-30,0.0,0
31,87,7,-23,7,55,1.5,1
4,-8,40,22,80,16,0.0,1
-21,-15,-7,-20,-37,10,-1.0,0
-66,-38,-35,-18,-35,17,0.0,0
44,39,20,3,16,34,0.0,1
-43,-110,-15,-10,5,-28,1.0,0
30,15,70,65,70,55,0.0,1
-5,-75,0,25,0,-5,0.0,0
0,32,18,25,-30,10,0.0,0
54,69,52,-47,-12,-2,0.0,1
10,-53,-18,-15,-43,-28,0.0,1
-5,-10,-5,-40,-20,0,0.0,0
-5,12,32,53,83,35,0.0,0
43,69,-20,-58,-5,26,0.0,1
55,-50,-55,65,15,-10,0.0,0
-60,10,45,-5,20,0,0.0,0
-10,-30,-9,-20,-34,10,0.0,0
15,-10,-28,-62,-104,-43,0.0,1
10,-20,-20,-50,-94,-46,0.0,1
22,-40,-26,-35,-26,-65,0.0,0
56,63,22,60,30,29,1.0,1
5,-62,0,8,0,-29,1.0,0
15,-30,-44,-30,-34,-50,0.0,1
-45,-20,-61,0,-16,-60,0.0,0
15,-10,-10,35,25,0,0.0,1
13,15,25,72,116,33,0.0,1
80,21,67,78,67,27,0.0,1
15,-20,71,55,91,28,0.0,1
-24,-17,-61,23,-21,-21,0.0,0
60,-30,-10,15,15,-50,-1.0,0
-20,32,7,4,9,10,0.0,0
20,-27,-73,30,-15,5,0.0,1
-30,-5,5,2,-2,-2,0.0,0
-61,-9,-10,-54,35,65,0.0,1
-17,-1,20,30,10,25,0.0,0
-15,20,16,10,6,-77,0.0,0
-10,-28,-52,35,15,15,-1.5,0
5,75,10,30,15,25,0.0,1
-67,-59,-13,-64,2,-24,0.0,0
-30,26,2,-99,-55,-18,-1.5,0
95,150,60,89,55,51,0.0,1
-20,-80,-55,-25,-35,-15,0.0,0
21,22,18,-18,-18,115,0.0,1
12,-28,-7,15,-15,-22,-1.5,1
82,-27,-129,46,34,-35,0.0,1
41,18,-13,11,42,37,1.0,1
-50,18,36,11,-5,9,-1.0,0
-26,1,-40,-10,25,65,0.0,0
10,65,44,25,24,32,0.0,1
32,40,36,20,-10,27,0.0,0
0,28,90,-2,0,15,0.0,0
19,26,-5,-18,-5,-10,0.0,1
-60,-105,10,-40,25,-5,0.0,0
-74,-22,-35,-50,-30,10,0.0,0
-15,25,-10,-60,-20,35,0.0,0
35,-30,-65,0,-20,-10,0.0,1
40,-13,11,13,11,8,0.0,1
10,30,65,15,35,-35,0.0,1
-5,-35,35,-5,30,25,0.0,0
12,-37,25,80,10,-20,0.0,1
0,-70,-90,10,-40,-12,0.0,0
-20,27,32,79,54,25,0.0,0
0,20,70,-5,90,55,0.0,0
-110,-85,-40,-15,55,189,0.0,0
25,-26,8,-5,20,-7,1.5,1
-74,50,8,2,5,30,0.0,1
-95,-55,-5,-89,-5,-51,0.0,0
5,-19,-68,-29,-56,-24,0.0,1
-21,35,60,5,0,11,0.0,0
50,-45,15,20,-10,25,0.0,1
-36,38,-12,0,45,80,0.0,1
45,25,-80,45,-80,15,0.0,1
-40,-90,-25,-45,-25,-65,0.0,0
-18,15,50,-15,-20,-12,0.0,0
5,-5,90,-65,-35,-30,0.0,1
35,-50,15,-10,-35,-30,-1.0,1
-13,33,55,-7,-20,-16,0.0,0
-10,8,23,26,21,60,1.0,0
-20,55,-35,0,-70,-5,0.0,0
15,50,0,-20,10,10,0.0,1
-13,-37,-46,-54,-11,-46,0.0,0
-5,25,-40,20,20,-10,0.0,0
-4,-55,-13,55,-13,-45,0.0,0
75,66,54,-6,56,-5,0.0,1
40,-14,-44,71,-9,-14,0.0,1
-34,25,15,55,45,25,1.5,1
-32,-45,-20,-15,-20,-18,0.0,0
35,-15,-30,-45,-10,-25,0.0,1
-45,-5,-15,-30,5,-10,0.0,0
0,10,44,-10,9,17,0.0,0
-15,-12,4,-45,4,-15,1.5,0
35,30,10,30,10,10,0.0,1
69,45,50,100,55,30,0.0,1
25,-20,-15,25,15,0,0.0,0
-35,4,4,-11,39,-1,0.0,0
-38,25,168,-42,14,-48,0.0,0
-6,1,5,8,-5,17,0.0,0
-49,-5,20,-89,-40,-17,0.0,0
-23,-84,22,21,-16,-60,0.0,0
-45,65,50,-10,-15,-5,-1.0,0
32,15,-15,96,34,18,1.0,1
-10,-38,5,-20,-20,-20,-1.0,0
-45,-85,-50,-45,-35,-75,0.0,0
-35,30,40,-20,40,20,0.0,0
-40,-100,-25,30,20,5,0.0,0
-48,-30,41,85,21,21,0.0,0
-2,25,-80,-15,-80,0,0.0,0
4,10,52,-37,5,-10,0.0,1
80,18,-3,40,10,41,-1.0,1
27,43,38,5,32,23,0.0,1
-43,17,-25,0,-20,-9,0.0,0
16,38,55,105,75,40,0.0,1
61,36,13,36,3,15,0.0,1
-20,-30,-52,-22,8,-12,0.0,0
0,80,55,-15,15,60,0.0,0
-70,-120,-85,-35,-35,-50,0.0,0
61,10,35,10,30,28,0.0,1
35,63,42,30,25,76,0.0,1
15,-60,-30,-15,-20,-10,0.0,1
25,-10,-3,-8,-12,-25,0.0,1
-35,17,52,4,42,11,-1.0,0
-12,4,-20,-31,-16,-21,0.0,0
-6,-8,-34,-25,-25,17,0.0,0
20,-115,-35,-8,-8,-4,0.0,1
43,-8,10,38,10,-15,0.0,1
-27,-87,-32,-47,-32,0,0.0,0
-41,-40,75,-10,30,-49,0.0,0
40,20,-90,30,11,6,0.0,0
-100,-105,55,-115,45,0,0.0,0
1,16,30,14,25,-1,0.0,1
-15,-15,-125,15,-5,5,0.0,0
-3,-47,33,41,13,-18,0.0,0
5,5,-30,-15,0,45,0.0,1
-10,-9,-7,41,11,-6,0.0,0
-10,40,14,-5,-6,20,0.0,0
110,140,-170,105,-170,45,0.0,1
-25,-50,-55,-95,-45,-85,0.0,0
90,95,75,45,25,50,0.0,1
-25,-53,-40,-93,-90,-50,0.0,0
-18,30,28,60,-9,9,0.0,0
20,28,2,-40,0,-10,0.0,1
5,-40,-40,-30,-15,-20,0.0,1
0,20,-105,20,-100,-5,0.0,0
60,-21,-67,-5,-50,8,0.0,0
53,45,70,59,53,13,0.0,1
48,-73,10,-53,10,10,0.0,1
9,-15,51,-10,19,-3,0.0,1
85,20,-85,-30,-40,7,0.0,0
-77,-45,-4,10,16,-5,0.0,0
25,2,-68,2,-38,32,1.0,1
65,-70,-70,30,-5,-15,0.0,0
44,101,60,81,28,86,0.0,1
39,-59,-126,32,30,30,0.0,1
-30,-60,20,-15,-10,-30,1.5,0
0,-5,10,-50,-5,20,0.0,0
34,14,30,-12,-34,-22,0.0,1
43,-6,-46,2,10,7,0.0,1
-26,-55,-10,-40,5,-19,0.0,0
50,-70,-30,-40,-20,-90,0.0,1
-60,-55,-15,16,21,20,0.0,0
-21,-25,22,-92,-45,-25,0.0,0
-4,47,37,30,20,35,0.0,0
10,-5,50,70,65,25,0.0,1
10,75,27,0,-5,20,0.0,1
60,-10,25,15,25,0,1.5,1
-11,-42,-32,26,-2,7,0.0,0
-13,-14,14,26,-73,-5,0.0,0
10,88,47,15,30,40,-1.5,1
-20,-25,-4,6,9,-17,0.0,0
-60,-45,-20,-65,-25,-40,0.0,0
64,27,21,21,7,27,0.0,1
-43,-54,19,-74,-16,-36,0.0,0
-32,12,5,23,-5,38,0.0,0
-61,-50,70,-60,60,-19,0.0,0
-88,8,80,-12,10,0,1.0,1
-4,-40,17,5,17,-3,0.0,0
-40,55,-20,99,30,56,0.0,0
60,120,120,110,50,60,0.0,1
-10,-40,-40,-5,-35,55,0.0,0
-5,-40,-2,10,-47,-35,0.0,0
-10,-20,-6,0,-41,-43,0.0,0
32,25,74,-4,18,-1,0.0,1
50,30,40,-16,-30,26,0.0,1
45,15,35,77,57,16,0.0,1
35,-25,-60,25,0,-10,0.0,1
16,19,-10,54,20,25,0.0,1
1,50,25,15,15,43,0.0,1
20,10,75,20,30,25,0.0,1
-6,23,24,42,48,69,0.0,0
-30,60,25,-30,20,10,-1.0,0
-88,58,45,-37,45,0,0.0,0
-64,-18,17,5,-15,35,0.0,0
-51,-78,-13,-38,57,-30,1.5,0
60,5,-80,45,30,10,0.0,1
45,50,-80,30,-70,5,0.0,0
-80,-65,-20,18,-40,-15,0.0,0
-10,-20,-30,35,-25,-15,0.0,0
11,20,2,5,-3,1,0.0,1
95,-15,-65,-20,-50,15,0.0,0
-20,30,10,0,60,0,0.0,0
-50,20,-11,-105,-16,0,0.0,0
-7,69,46,-21,-19,-24,0.0,0
-6,20,25,45,35,50,0.0,0
-76,-4,-12,45,-7,36,0.0,0
41,13,-17,13,-32,-55,-1.5,1
60,10,35,15,85,35,0.0,1
10,-30,-5,-10,60,-30,-1.5,1
-61,-25,15,-28,20,31,0.0,0
27,42,56,-3,15,8,0.0,1
45,90,10,59,-16,10,0.0,1
0,-15,-10,-15,-35,-15,0.0,0
-78,-10,-5,-10,-25,23,0.0,0
62,39,15,32,35,24,-1.0,1
15,45,45,-10,10,-5,0.0,1
80,6,-31,46,-16,26,0.0,0
20,100,-2,90,48,10,0.0,1
4,13,-7,13,-7,20,0.0,1
20,15,40,35,105,-35,0.0,1
55,-8,-23,57,12,-35,0.0,1
35,5,5,15,50,-5,0.0,1
30,42,32,60,30,36,0.0,1
5,-55,-28,-35,-28,-20,0.0,1
5,-20,-105,-15,-19,-58,0.0,1
-5,-9,5,26,5,10,0.0,0
-25,50,101,5,91,-45,0.0,0
17,114,23,70,13,40,0.0,1
-3,-26,-27,-46,-47,130,0.0,0
25,0,-45,25,-10,20,0.0,1
-50,-26,20,24,0,-33,0.0,0
63,44,-4,19,-19,-19,0.0,1
10,80,-10,20,5,45,0.0,1
-16,-120,-100,-51,-70,-38,1.0,0
-60,-4,-28,-59,-35,-18,0.0,0
-4,37,-3,37,-3,120,-1.5,0
20,-10,-15,-10,30,-20,0.0,1
17,5,-9,30,-6,-2,1.0,1
20,0,30,55,30,60,0.0,1
70,-10,-45,75,-45,30,0.0,1
2,20,-5,-70,-15,-10,0.0,1
67,60,-3,18,-13,-16,0.0,1
-45,45,45,5,10,50,0.0,0
25,35,0,-85,-10,5,0.0,1
12,15,45,40,58,0,0.0,1
-30,70,50,30,75,140,0.0,1
8,39,1,-41,-49,-24,0.0,1
0,-45,45,-105,-60,-20,0.0,0
31,42,-12,-18,-13,-5,-1.0,1
40,40,-40,65,10,-5,1.0,1
100,150,50,29,40,41,0.0,1
-31,-25,-52,-65,-37,-10,1.0,1
21,-10,-17,-20,-17,-15,0.0,1
12,-12,-40,28,-50,-48,0.0,1
30,35,-10,-10,10,25,0.0,1
-5,-16,-45,-5,5,11,0.0,0
45,-66,-38,14,-34,-14,0.0,0
16,-25,-38,10,-8,0,0.0,1
-35,-53,-50,-43,-50,-50,0.0,0
-35,30,55,-65,-10,30,-1.5,0
20,-30,30,25,-10,-85,0.0,1
-45,15,5,-30,-15,60,-1.0,0
-27,0,6,20,16,24,0.0,0
30,0,0,-45,-40,-69,0.0,1
25,40,-110,-5,-70,15,0.0,1
10,-80,-50,-20,-45,-5,0.0,1
-15,-31,-20,-11,-45,-43,1.5,0
42,18,16,21,13,17,0.0,1
-10,-80,-20,-40,-10,-70,0.0,0
10,0,20,40,-10,10,0.0,1
70,5,-115,70,25,15,0.0,1
20,-15,5,20,15,5,1.0,1
26,-25,-5,9,-7,-17,0.0,1
